,Month,Close,Volume,Close_norm
0,1,15596.5,1491823,0.0
1,2,16013.0,1712807,0.05888968868094294
2,3,16617.863636363636,2000031,0.14441245276228173
3,4,17112.05,6577672,0.2142863569757576
4,5,18474.36842105263,3893522,0.40690702372270393
5,6,19720.14285714286,9680614,0.5830493255427059
6,7,20133.190476190477,7618067,0.6414508758335078
7,8,19477.68181818182,4709166,0.548767320496671
8,9,21039.0,10876919,0.7695249235198847
9,10,22093.6875,6912750,0.9186490976631788
10,11,22669.045454545456,9566717,1.0
11,12,21904.842105263157,3772246,0.8919479055746254
